epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,28.459,2.89194,3.43799,1.86379,0.00458,0.88288,0.01891,0.0063,2.094,3.3446,1.47905,0.00054,0.00054,0.00054
2,40.2788,2.60999,2.66134,1.63806,0.84682,0.09965,0.29043,0.10791,2.22715,2.81887,1.74993,0.00107822,0.00107822,0.00107822
3,51.7352,2.52456,2.38829,1.68052,0.41116,0.13514,0.15057,0.04898,2.51129,2.91368,2.02623,0.00159426,0.00159426,0.00159426
4,62.9454,2.47571,2.28297,1.65976,0.24846,0.18919,0.13556,0.03949,2.65168,2.65633,2.15902,0.0018812,0.0018812,0.0018812
5,74.0131,2.40224,2.12414,1.61334,0.21822,0.2973,0.1435,0.04271,2.67977,2.69344,2.15472,0.0018416,0.0018416,0.0018416
6,84.9809,2.4323,2.19858,1.66663,0.18537,0.34234,0.1324,0.05209,2.28861,2.11239,1.75544,0.001802,0.001802,0.001802
7,96.1359,2.31398,1.97834,1.59854,0.6592,0.4531,0.50389,0.19251,2.23186,1.85098,1.78897,0.0017624,0.0017624,0.0017624
8,107.545,2.38251,2.00861,1.59567,0.52803,0.53153,0.50419,0.24165,1.9504,1.60403,1.56657,0.0017228,0.0017228,0.0017228
9,118.783,2.39789,1.96542,1.61628,0.49438,0.51351,0.48741,0.22284,2.03403,1.63078,1.66554,0.0016832,0.0016832,0.0016832
10,130.076,2.28178,1.85564,1.56794,0.46586,0.45045,0.3837,0.15271,2.16664,1.99531,1.74766,0.0016436,0.0016436,0.0016436
11,141.381,2.14645,1.75557,1.47769,0.69463,0.48649,0.5527,0.21118,2.07014,1.58033,1.68307,0.001604,0.001604,0.001604
12,152.712,2.18015,1.76349,1.52321,0.60007,0.5045,0.54485,0.23842,1.98663,1.5413,1.65786,0.0015644,0.0015644,0.0015644
13,163.91,2.14206,1.71529,1.52246,0.66096,0.58559,0.64095,0.26552,2.08159,1.44796,1.65437,0.0015248,0.0015248,0.0015248
14,175.05,2.07854,1.69273,1.45761,0.75904,0.54955,0.63701,0.27792,1.882,1.4543,1.52885,0.0014852,0.0014852,0.0014852
15,186.309,2.08616,1.57304,1.44348,0.68339,0.63063,0.67996,0.3121,1.85972,1.32548,1.53187,0.0014456,0.0014456,0.0014456
16,198.014,2.06123,1.55232,1.45001,0.62031,0.69369,0.69106,0.30892,1.88126,1.35178,1.52975,0.001406,0.001406,0.001406
17,209.525,2.03627,1.50964,1.43541,0.7431,0.72966,0.70322,0.31241,1.86329,1.24413,1.50065,0.0013664,0.0013664,0.0013664
18,221.045,2.01894,1.49961,1.42562,0.67855,0.63964,0.68636,0.32463,1.81046,1.30067,1.47758,0.0013268,0.0013268,0.0013268
19,232.539,1.96947,1.48,1.42915,0.74548,0.69369,0.71104,0.35381,1.78345,1.40429,1.4834,0.0012872,0.0012872,0.0012872
20,244.45,2.02992,1.44796,1.42839,0.79346,0.64865,0.74198,0.34369,1.76326,1.23102,1.46888,0.0012476,0.0012476,0.0012476
